               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  29,              0.1057,             0.02442,            0.013012,             0.42672,             0.24318,             0.22519,            0.099067,               0.107,            0.028396,            0.016812,             0.00307,             0.00307,             0.00307
                  30,             0.10554,            0.024398,            0.013027,             0.44509,             0.24598,             0.23255,              0.1003,             0.10691,            0.028258,            0.016712,           0.0028225,           0.0028225,           0.0028225
                  31,             0.10537,             0.02397,            0.012768,             0.44313,             0.24233,             0.23664,             0.10154,             0.10694,            0.028271,            0.016566,            0.002575,            0.002575,            0.002575
                  32,             0.10511,            0.024352,            0.012996,             0.40191,             0.24687,             0.23606,             0.10233,             0.10767,            0.029217,            0.016734,           0.0023275,           0.0023275,           0.0023275
                  33,              0.1045,            0.024061,             0.01286,             0.43412,             0.25571,             0.23715,             0.10554,             0.10678,            0.028562,            0.016657,             0.00208,             0.00208,             0.00208
                  34,              0.1054,            0.024233,            0.013018,             0.43854,             0.25922,              0.2398,             0.10535,             0.10668,            0.028338,            0.016743,           0.0018325,           0.0018325,           0.0018325
                  35,             0.10494,             0.02414,            0.012607,             0.42518,             0.25516,             0.23387,             0.10524,             0.10642,            0.028295,            0.016995,            0.001585,            0.001585,            0.001585
                  36,             0.10501,            0.024536,            0.012439,             0.48412,             0.24906,             0.24712,             0.11063,             0.10615,            0.028391,             0.01666,           0.0013375,           0.0013375,           0.0013375
                  37,             0.10492,            0.024532,             0.01256,             0.46902,             0.25289,             0.24723,             0.10991,             0.10619,            0.028503,            0.017123,             0.00109,             0.00109,             0.00109
                  38,             0.10414,            0.024678,            0.012581,             0.44257,             0.25995,             0.24635,             0.11054,             0.10609,            0.028569,            0.016664,           0.0008425,           0.0008425,           0.0008425
                  39,             0.10435,            0.024098,            0.012728,             0.45758,             0.25854,             0.24441,             0.10974,               0.106,            0.028336,            0.016941,            0.000595,            0.000595,            0.000595
