               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14627,            0.016768,            0.022702,             0.54552,            0.054957,            0.018652,           0.0042264,              0.1358,            0.032927,            0.021436,             0.07075,             0.00325,             0.00325
                   1,             0.12687,            0.020304,            0.016223,             0.56624,            0.079031,            0.038994,           0.0098768,              0.1314,            0.028745,            0.019647,            0.040587,           0.0064204,           0.0064204
                   2,             0.12133,            0.022038,             0.01613,             0.10078,             0.21863,            0.067469,             0.02059,             0.12035,            0.030024,            0.019256,            0.010259,           0.0094258,           0.0094258
                   3,             0.11692,            0.023543,            0.016294,             0.64551,             0.11229,            0.099504,            0.032223,             0.11747,            0.038427,            0.019604,           0.0092575,           0.0092575,           0.0092575
                   4,             0.11456,            0.023811,            0.015788,             0.13488,              0.2716,             0.11733,            0.041295,             0.11505,             0.03167,            0.019023,           0.0092575,           0.0092575,           0.0092575
                   5,             0.11341,            0.024199,            0.015612,             0.19413,             0.25854,               0.146,            0.050017,             0.11402,            0.029876,            0.018559,             0.00901,             0.00901,             0.00901
                   6,             0.11138,              0.0242,            0.015604,             0.28239,             0.21847,             0.16234,            0.060735,             0.11333,            0.029641,            0.017817,           0.0087625,           0.0087625,           0.0087625
                   7,             0.11183,            0.024835,            0.015103,             0.30004,             0.21693,             0.16281,            0.059997,              0.1125,            0.028388,            0.017709,            0.008515,            0.008515,            0.008515
                   8,             0.11038,            0.024324,            0.015096,             0.29991,             0.22754,             0.17414,            0.066774,             0.11108,             0.02872,            0.017823,           0.0082675,           0.0082675,           0.0082675
                   9,             0.10994,            0.024517,            0.014828,             0.32632,             0.23556,             0.18939,            0.074955,             0.11077,            0.028946,            0.017379,             0.00802,             0.00802,             0.00802
                  10,             0.10988,            0.024362,            0.014796,             0.31867,             0.22798,             0.17955,             0.07304,             0.10999,            0.028776,            0.017618,           0.0077725,           0.0077725,           0.0077725
                  11,             0.10929,            0.024107,            0.014593,             0.36639,              0.2261,             0.18913,            0.075965,             0.11129,             0.03027,             0.01733,            0.007525,            0.007525,            0.007525
                  12,             0.10878,             0.02381,            0.014254,             0.41421,             0.22755,              0.2011,            0.081002,             0.10922,            0.029312,            0.017706,           0.0072775,           0.0072775,           0.0072775
                  13,             0.10912,            0.024235,            0.014401,             0.34288,             0.22374,              0.1858,            0.071443,             0.10984,            0.028762,            0.017841,             0.00703,             0.00703,             0.00703
                  14,             0.10831,            0.024708,             0.01417,             0.40769,             0.21843,             0.19685,            0.082202,             0.10935,            0.028775,            0.017479,           0.0067825,           0.0067825,           0.0067825
                  15,             0.10813,            0.023948,            0.014131,              0.3909,             0.23007,             0.21118,            0.087284,             0.10917,            0.028294,            0.016587,            0.006535,            0.006535,            0.006535
                  16,             0.10744,             0.02467,            0.013809,             0.38428,             0.23434,             0.19944,            0.081692,             0.10867,            0.028356,            0.018184,           0.0062875,           0.0062875,           0.0062875
                  17,              0.1078,            0.024182,            0.013807,             0.45937,             0.19971,             0.19884,            0.081061,              0.1092,            0.028905,             0.01752,             0.00604,             0.00604,             0.00604
                  18,             0.10717,            0.024695,            0.013881,             0.38745,             0.23163,             0.20765,            0.088835,             0.10874,            0.028729,            0.017059,           0.0057925,           0.0057925,           0.0057925
                  19,             0.10697,            0.024418,            0.013745,             0.39154,              0.2337,             0.21562,            0.089549,             0.10883,            0.029314,            0.016726,            0.005545,            0.005545,            0.005545
                  20,              0.1073,            0.024172,            0.013853,             0.39049,             0.25116,             0.22421,            0.090646,             0.10848,            0.029026,            0.016322,           0.0052975,           0.0052975,           0.0052975
                  21,             0.10669,             0.02403,            0.013332,             0.38976,             0.23594,             0.21136,            0.088775,             0.10843,            0.028327,            0.016966,             0.00505,             0.00505,             0.00505
                  22,             0.10689,            0.024112,             0.01345,             0.37602,             0.23034,             0.21286,            0.090052,             0.10962,            0.029858,            0.016636,           0.0048025,           0.0048025,           0.0048025
                  23,             0.10649,            0.024734,             0.01337,             0.37026,             0.24832,             0.21408,            0.091906,             0.10809,            0.028688,            0.017067,            0.004555,            0.004555,            0.004555
                  24,             0.10617,            0.024454,            0.013466,             0.39241,             0.25312,             0.22422,            0.094795,             0.10774,            0.028385,            0.017286,           0.0043075,           0.0043075,           0.0043075
                  25,             0.10652,            0.024339,            0.013173,             0.42774,             0.24489,             0.22822,             0.10014,             0.10743,            0.028554,            0.016696,             0.00406,             0.00406,             0.00406
                  26,             0.10587,            0.023864,             0.01345,              0.4385,             0.23742,             0.22119,            0.093796,              0.1083,            0.028235,            0.017012,           0.0038125,           0.0038125,           0.0038125
                  27,              0.1056,            0.024359,             0.01285,             0.44323,             0.24123,              0.2329,             0.10233,             0.10727,            0.028563,            0.016779,            0.003565,            0.003565,            0.003565
                  28,             0.10538,            0.024385,            0.012955,             0.42057,             0.24421,             0.22222,            0.096008,             0.10743,            0.028957,            0.017243,           0.0033175,           0.0033175,           0.0033175
