               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13525,            0.019881,            0.020085,             0.67094,             0.13098,             0.12516,            0.044279,             0.11672,             0.02689,            0.020881,            0.070094,           0.0033229,           0.0033229
                   1,             0.11543,             0.02279,             0.01617,             0.20358,             0.30168,             0.17676,            0.061767,             0.10972,            0.027873,            0.019994,            0.039655,           0.0062169,           0.0062169
                   2,             0.11264,            0.023472,             0.01577,             0.35026,             0.27047,             0.22079,            0.088704,             0.10821,            0.028012,            0.018177,           0.0087754,           0.0086709,           0.0086709
                   3,              0.1096,             0.02414,            0.014885,             0.39157,             0.24732,              0.2223,            0.089541,             0.10561,            0.027953,            0.017429,             0.00802,             0.00802,             0.00802
                   4,             0.10708,            0.024302,            0.013998,             0.42671,             0.26104,             0.24438,             0.10558,             0.10501,            0.028151,            0.017541,             0.00802,             0.00802,             0.00802
                   5,             0.10497,            0.024708,            0.014099,             0.41133,             0.28796,             0.26499,             0.12196,             0.10302,            0.028311,            0.017553,             0.00736,             0.00736,             0.00736
                   6,             0.10331,             0.02448,            0.013915,             0.46287,             0.27937,              0.2771,             0.12696,             0.10144,            0.028541,            0.016901,              0.0067,              0.0067,              0.0067
                   7,               0.103,            0.024821,            0.013051,               0.464,             0.28059,             0.27548,             0.13249,             0.10045,            0.027816,            0.017274,             0.00604,             0.00604,             0.00604
                   8,             0.10194,            0.024499,             0.01292,             0.46609,             0.29258,             0.28797,             0.13515,             0.10022,            0.028004,             0.01697,             0.00538,             0.00538,             0.00538
                   9,             0.10039,            0.024558,            0.012983,             0.52525,             0.28608,             0.29952,             0.14241,            0.099112,            0.027938,            0.016312,             0.00472,             0.00472,             0.00472
                  10,            0.099935,            0.024193,            0.012813,             0.48192,             0.29299,             0.29481,             0.14038,            0.098961,            0.027792,            0.016437,             0.00406,             0.00406,             0.00406
                  11,            0.099285,            0.024097,            0.012308,             0.51009,               0.292,             0.30174,             0.14667,            0.098359,             0.02797,            0.016556,              0.0034,              0.0034,              0.0034
                  12,            0.098618,            0.023358,            0.011938,             0.50261,             0.29801,             0.31059,             0.15258,            0.097863,            0.027652,            0.016034,             0.00274,             0.00274,             0.00274
                  13,            0.098541,            0.023738,            0.011943,              0.4909,             0.30196,             0.31188,             0.15428,            0.097786,            0.027997,            0.015856,             0.00208,             0.00208,             0.00208
                  14,            0.097636,            0.024233,            0.011975,             0.52346,              0.3073,             0.32115,             0.16122,            0.097002,            0.027578,            0.015778,             0.00142,             0.00142,             0.00142
