               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13338,            0.020899,            0.019964,             0.70759,             0.13003,             0.14902,            0.058517,             0.11764,            0.026239,            0.020648,            0.070094,           0.0033229,           0.0033229
                   1,             0.11384,            0.022908,            0.015959,             0.20448,             0.29644,             0.17162,            0.064167,             0.11205,             0.02702,            0.019143,            0.039655,           0.0062169,           0.0062169
                   2,             0.11124,            0.023452,             0.01503,             0.35596,             0.25286,             0.22311,            0.092049,             0.10834,             0.02762,            0.016914,           0.0087754,           0.0086709,           0.0086709
                   3,             0.10831,            0.024177,            0.014228,             0.43626,             0.25653,             0.25425,             0.10887,             0.10476,             0.02782,            0.017273,             0.00802,             0.00802,             0.00802
                   4,             0.10626,            0.024265,            0.013548,             0.46209,             0.26937,             0.26865,             0.11653,             0.10337,            0.027877,            0.017818,             0.00802,             0.00802,             0.00802
                   5,              0.1037,             0.02457,            0.013457,             0.48775,             0.27578,             0.28634,             0.13881,             0.10161,            0.027974,            0.016592,             0.00736,             0.00736,             0.00736
                   6,             0.10196,            0.024394,            0.013378,             0.49816,             0.28306,             0.28523,             0.13253,             0.10056,            0.027873,            0.016728,              0.0067,              0.0067,              0.0067
                   7,             0.10166,            0.024694,            0.012372,             0.46259,             0.30244,             0.29338,             0.14421,            0.099761,              0.0275,            0.016759,             0.00604,             0.00604,             0.00604
                   8,             0.10063,            0.024289,            0.012471,             0.49159,             0.28932,             0.29567,             0.14031,            0.098903,            0.027479,            0.016827,             0.00538,             0.00538,             0.00538
                   9,            0.098749,            0.024326,            0.012319,             0.48253,             0.30277,             0.30757,             0.14855,             0.09736,            0.027709,            0.016504,             0.00472,             0.00472,             0.00472
                  10,            0.098224,            0.023869,            0.012109,             0.51839,             0.29376,             0.31141,             0.15552,            0.097093,            0.027459,            0.016412,             0.00406,             0.00406,             0.00406
                  11,            0.097503,             0.02382,            0.011717,             0.54173,              0.3062,             0.32216,             0.16141,            0.096542,            0.027597,            0.016254,              0.0034,              0.0034,              0.0034
                  12,             0.09671,            0.023153,            0.011301,             0.51148,             0.30952,             0.32123,             0.16222,            0.096558,            0.027789,            0.016473,             0.00274,             0.00274,             0.00274
                  13,            0.096579,            0.023564,            0.011348,             0.52423,             0.32452,             0.33646,             0.17245,            0.095903,             0.02748,            0.015635,             0.00208,             0.00208,             0.00208
                  14,            0.095636,            0.023824,             0.01117,             0.54456,             0.31688,             0.33305,             0.16868,            0.095715,            0.027552,            0.016005,             0.00142,             0.00142,             0.00142
